page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path
178	1	Upper_Left	RK337		38, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_178_part_1.png
178	2	Upper_Right	RK337		38, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_178_part_2.png
178	3	Lower_Left	RK337		38, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_178_part_3.png
178	4	Lower_Right	21fb46f9-4bbb-441c-af19-a687e9138344		49, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_178_part_4.png
179	1	Upper_Left	31c96e35-5e2f-429c-b12a-7bc5a497a300		49, 4		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_179_part_1.png
179	2	Upper_Right	a8d6694c-a213-4544-ac0b-63bce16d8f4e		62, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_179_part_2.png
179	3	Lower_Left	c4d1e105-28b7-48df-abef-fbe09782fdb2		82, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_179_part_3.png
179	4	Lower_Right	d2824e6d-3784-45c2-9b0f-52b17356b5da		38, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_179_part_4.png
180	1	Upper_Left	d2824e6d-3784-45c2-9b0f-52b17356b5da		38, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_180_part_1.png
180	2	Upper_Right	d2824e6d-3784-45c2-9b0f-52b17356b5da		38, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_180_part_2.png
180	3	Lower_Left	81b7cbc1-c037-426f-95b0-d729a30697da		56, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_180_part_3.png
180	4	Lower_Right	9293e197-e38a-4e19-a7d0-1b45d1ad48bd		53, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_180_part_4.png
181	1	Upper_Left	9a874b64-d0d6-416e-97bc-e9071ed0b16b		48, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_181_part_1.png
181	2	Upper_Right	a3e1ac67-a1f2-44fb-8343-a7e8239fc24a		48, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_181_part_2.png
181	3	Lower_Left	bd15f523-45c4-4d7c-a3cc-4fb56abb0e54		75, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_181_part_3.png
181	4	Lower_Right	e6b72c24-1607-43b9-8b8a-7bf83eea5895		53, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_181_part_4.png
182	1	Upper_Left	4105746		71, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_182_part_1.png
182	2	Upper_Right	4111326		71, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_182_part_2.png
182	3	Lower_Left	4134005		78, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_182_part_3.png
182	4	Lower_Right	4135099		79, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_182_part_4.png
183	1	Upper_Left	4135099		79, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_183_part_1.png
183	2	Upper_Right	4135099		79, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_183_part_2.png
183	3	Lower_Left	4138527		72, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_183_part_3.png
183	4	Lower_Right	4163639		6, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_183_part_4.png
184	1	Upper_Left	4176133		76, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_184_part_1.png
184	2	Upper_Right	4196670		63, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_184_part_2.png
184	3	Lower_Left	177		8, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_184_part_3.png
184	4	Lower_Right	SNU_WGS_06		99, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_184_part_4.png
185	1	Upper_Left	SNU_WGS_12		82, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_185_part_1.png
185	2	Upper_Right	AOCS-060		68, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_185_part_2.png
185	3	Lower_Left	AOCS-065		7, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_185_part_3.png
185	4	Lower_Right	AOCS-086		52, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_185_part_4.png
186	1	Upper_Left	AOCS-088		61, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_186_part_1.png
186	2	Upper_Right	AOCS-091		74, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_186_part_2.png
